,Year Drafted,Name,Draft Pick,Date,Game Result (W/L),Pass Completions,Passing Attempts,Passing Yards,Passing Touchdowns,Interceptions,QBR,Times Sacked,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Fumbles
88,2017,Patrick Mahomes,10,2019-09-22,W,27,37,374,3,0,132.0,1,4,9,0,1
89,2017,Patrick Mahomes,10,2019-09-29,W,24,42,315,0,0,81.0,0,6,54,0,0
90,2017,Patrick Mahomes,10,2019-10-06,L,22,39,321,1,0,91.9,4,3,17,0,0
91,2017,Patrick Mahomes,10,2019-10-13,L,19,35,273,3,1,96.5,1,1,-1,0,1
92,2017,Patrick Mahomes,10,2019-10-17,W,10,11,76,1,0,125.8,0,1,2,0,0
93,2017,Patrick Mahomes,10,2019-11-10,L,36,50,446,3,0,119.2,2,0,0,0,0
94,2017,Patrick Mahomes,10,2019-11-18,W,19,32,182,1,1,72.7,1,5,59,0,0
95,2017,Patrick Mahomes,10,2019-12-01,W,15,29,175,1,0,81.8,1,3,25,1,0
96,2017,Patrick Mahomes,10,2019-12-08,W,26,40,283,1,1,83.6,1,6,6,0,0
97,2017,Patrick Mahomes,10,2019-12-15,W,27,34,340,2,1,115.7,3,3,11,0,0
98,2017,Patrick Mahomes,10,2019-12-22,W,23,33,251,2,0,112.1,1,2,14,1,0
99,2017,Patrick Mahomes,10,2019-12-29,W,16,25,174,1,1,81.1,0,7,21,0,0
100,2017,Patrick Mahomes,10,2020-09-10,W,24,32,211,3,0,123.3,1,0,0,0,0
101,2017,Patrick Mahomes,10,2020-09-20,W,27,47,302,2,0,90.9,1,6,54,0,0
102,2017,Patrick Mahomes,10,2020-09-28,W,31,42,385,4,0,133.5,0,4,26,1,0
103,2017,Patrick Mahomes,10,2020-10-05,W,19,29,236,2,0,113.6,1,8,28,0,0
104,2017,Patrick Mahomes,10,2020-10-11,L,22,43,340,2,1,83.5,3,6,21,1,0
105,2017,Patrick Mahomes,10,2020-10-19,W,21,26,225,2,0,128.4,1,10,36,0,1
106,2017,Patrick Mahomes,10,2020-10-25,W,15,23,200,1,0,107.2,3,0,0,0,0
107,2017,Patrick Mahomes,10,2020-11-01,W,31,42,416,5,0,144.4,0,0,0,0,0
108,2017,Patrick Mahomes,10,2020-11-08,W,30,45,372,4,0,121.7,2,1,6,0,0
109,2017,Patrick Mahomes,10,2020-11-22,W,34,45,348,2,1,102.8,0,4,16,0,0
110,2017,Patrick Mahomes,10,2020-11-29,W,37,49,462,3,0,124.7,2,4,28,0,1
111,2017,Patrick Mahomes,10,2020-12-06,W,25,40,318,1,0,95.6,1,4,26,0,0
112,2017,Patrick Mahomes,10,2020-12-13,W,24,34,393,2,3,91.9,3,5,9,0,1
113,2017,Patrick Mahomes,10,2020-12-20,W,26,47,254,3,0,92.0,4,7,37,0,2
114,2017,Patrick Mahomes,10,2020-12-27,W,24,44,278,2,1,79.5,0,3,21,0,0
115,2017,Patrick Mahomes,10,2021-09-12,W,27,36,337,3,0,131.4,2,5,18,1,0
116,2017,Patrick Mahomes,10,2021-09-19,L,24,31,343,3,1,131.5,0,1,3,0,0
117,2017,Patrick Mahomes,10,2021-09-26,L,27,44,260,3,2,81.6,2,4,45,0,0
118,2017,Patrick Mahomes,10,2021-10-03,W,24,30,278,5,1,131.0,1,5,26,0,0
119,2017,Patrick Mahomes,10,2021-10-10,L,33,54,272,2,2,70.9,2,8,61,0,1
120,2017,Patrick Mahomes,10,2021-10-17,W,32,47,397,2,2,90.5,3,3,31,0,1
121,2017,Patrick Mahomes,10,2021-10-24,L,20,35,206,0,1,62.3,4,6,35,0,2
122,2017,Patrick Mahomes,10,2021-11-01,W,29,48,275,1,1,74.6,2,3,10,0,1
123,2017,Patrick Mahomes,10,2021-11-07,W,20,37,166,1,0,74.8,1,2,-2,0,0
124,2017,Patrick Mahomes,10,2021-11-14,W,35,50,406,5,0,127.6,0,0,0,0,0
125,2017,Patrick Mahomes,10,2021-11-21,W,23,37,260,0,1,71.9,3,7,11,0,1
126,2017,Patrick Mahomes,10,2021-12-05,W,15,29,184,0,1,57.3,1,4,12,1,0
127,2017,Patrick Mahomes,10,2021-12-12,W,20,24,258,2,0,139.2,3,4,20,0,1
128,2017,Patrick Mahomes,10,2021-12-16,W,31,47,410,3,1,105.8,1,3,32,0,1
129,2017,Patrick Mahomes,10,2021-12-26,W,23,30,258,3,0,135.1,2,0,0,0,1
130,2017,Patrick Mahomes,10,2022-01-02,L,26,35,259,2,0,113.9,0,2,25,0,0
131,2017,Patrick Mahomes,10,2022-01-08,W,27,44,270,2,0,93.9,1,9,54,0,0
132,2017,Patrick Mahomes,10,2022-09-11,W,30,39,360,5,0,144.2,0,3,5,0,1
133,2017,Patrick Mahomes,10,2022-09-15,W,24,35,235,2,0,106.2,1,2,-1,0,0
134,2017,Patrick Mahomes,10,2022-09-25,L,20,35,262,1,1,78.5,1,4,26,0,0
135,2017,Patrick Mahomes,10,2022-10-02,W,23,37,249,3,1,97.7,3,4,34,0,0
136,2017,Patrick Mahomes,10,2022-10-10,W,29,43,292,4,0,117.6,3,4,28,0,0
137,2017,Patrick Mahomes,10,2022-10-16,L,25,40,338,2,2,85.2,3,4,21,0,0
138,2017,Patrick Mahomes,10,2022-10-23,W,25,34,423,3,1,132.4,1,0,0,0,1
139,2017,Patrick Mahomes,10,2022-11-06,W,43,68,446,1,1,80.9,4,6,63,1,0
140,2017,Patrick Mahomes,10,2022-11-13,W,26,35,331,4,1,129.6,0,7,39,0,1
141,2017,Patrick Mahomes,10,2022-11-20,W,20,34,329,3,0,120.8,1,4,23,0,1
142,2017,Patrick Mahomes,10,2022-11-27,W,27,42,320,1,1,85.4,0,4,36,0,0
143,2017,Patrick Mahomes,10,2022-12-04,L,16,27,223,1,0,98.2,2,2,9,1,0
144,2017,Patrick Mahomes,10,2022-12-11,W,28,42,352,3,3,86.6,2,3,-3,0,0
145,2017,Patrick Mahomes,10,2022-12-18,W,36,41,336,2,0,117.1,2,5,33,1,1
146,2017,Patrick Mahomes,10,2022-12-24,W,16,28,224,2,0,106.8,1,2,8,1,0
147,2017,Patrick Mahomes,10,2023-01-01,W,29,42,328,3,1,106.1,0,4,8,0,0
148,2017,Patrick Mahomes,10,2023-01-07,W,18,26,202,1,0,105.0,2,3,29,0,0
149,2017,Patrick Mahomes,10,2023-09-07,L,21,39,226,2,1,77.5,0,6,45,0,0
150,2017,Patrick Mahomes,10,2023-09-17,W,29,41,305,2,1,98.1,1,7,30,0,0
151,2017,Patrick Mahomes,10,2023-09-24,W,24,33,272,3,0,127.3,0,3,28,0,0
