,Name,Draft Pick,Date,Game Result (W/L),Passing Completions,Passing Attempts,Passing Yards,Passing Touchdowns,Interceptions,Passer Rating,Times Sacked,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Fumbles
110,Tua Tagovailoa,5,2023-12-31,L,22,38,237,2,2,71.9,3,2,14,0,0
111,Tua Tagovailoa,5,2024-01-07,L,17,27,173,1,2,62.7,0,1,7,0,0
112,Tua Tagovailoa,5,2024-09-08,W,23,37,338,1,0,101.0,3,1,11,0,0
113,Tua Tagovailoa,5,2024-09-12,L,17,25,145,1,3,56.7,1,2,17,0,0
114,Tua Tagovailoa,5,2024-10-27,L,28,38,234,1,0,97.9,1,3,13,0,3
115,Tua Tagovailoa,5,2024-11-03,L,25,28,231,2,0,124.9,1,2,3,0,0
116,Justin Herbert,6,2020-09-20,L,22,33,311,1,1,94.4,2,4,18,1,0
117,Justin Herbert,6,2020-09-27,L,35,49,330,1,1,88.0,2,3,15,0,2
118,Justin Herbert,6,2020-10-04,L,20,25,290,3,1,137.9,2,5,14,0,0
119,Justin Herbert,6,2020-10-12,L,20,34,264,4,0,122.7,3,4,8,0,1
120,Justin Herbert,6,2020-10-25,W,27,43,347,3,0,111.3,1,9,66,1,0
121,Justin Herbert,6,2020-11-01,L,29,43,278,3,2,89.1,2,3,21,0,0
122,Justin Herbert,6,2020-11-08,L,28,42,326,2,0,105.9,2,5,24,0,1
123,Justin Herbert,6,2020-11-15,L,20,32,187,2,1,86.3,2,4,10,1,0
124,Justin Herbert,6,2020-11-22,W,37,49,366,3,0,116.5,3,2,11,0,0
125,Justin Herbert,6,2020-11-29,L,31,52,316,1,1,75.5,3,2,-2,0,2
126,Justin Herbert,6,2020-12-06,L,26,53,209,0,2,43.7,3,0,0,0,0
127,Justin Herbert,6,2020-12-13,W,36,44,243,2,1,95.4,1,0,0,0,0
128,Justin Herbert,6,2020-12-17,W,22,32,314,2,0,121.1,1,4,14,1,1
129,Justin Herbert,6,2020-12-27,W,21,33,253,1,0,97.2,2,4,26,0,1
130,Justin Herbert,6,2021-01-03,W,22,31,302,3,0,134.1,3,6,9,1,0
131,Justin Herbert,6,2021-09-12,W,31,47,337,1,1,85.2,2,4,-1,0,1
132,Justin Herbert,6,2021-09-19,L,31,41,338,1,2,87.2,2,4,12,0,0
133,Justin Herbert,6,2021-09-26,W,26,38,281,4,0,125.0,1,4,16,0,0
134,Justin Herbert,6,2021-10-04,W,25,38,222,3,0,107.6,2,3,4,0,0
135,Justin Herbert,6,2021-10-10,W,26,43,398,4,0,122.0,2,4,29,1,0
136,Justin Herbert,6,2021-10-17,L,22,39,195,1,1,67.8,2,2,12,0,0
137,Justin Herbert,6,2021-10-31,L,18,35,223,2,2,66.7,3,2,9,0,0
138,Justin Herbert,6,2021-11-07,W,32,38,356,2,0,123.2,0,5,14,1,0
139,Justin Herbert,6,2021-11-14,L,20,34,195,1,1,72.5,2,2,22,0,0
140,Justin Herbert,6,2021-11-21,W,30,41,382,3,1,116.1,2,9,90,0,0
141,Justin Herbert,6,2021-11-28,L,28,44,303,2,2,80.0,3,4,36,0,0
142,Justin Herbert,6,2021-12-05,W,26,35,317,3,1,118.4,4,1,6,0,0
143,Justin Herbert,6,2021-12-12,W,23,31,275,3,0,133.1,2,4,19,0,0
144,Justin Herbert,6,2021-12-16,L,22,38,236,2,1,82.8,0,5,16,1,0
145,Justin Herbert,6,2021-12-26,L,27,35,336,1,2,92.1,1,4,15,0,0
146,Justin Herbert,6,2022-01-02,W,22,31,237,2,0,114.6,0,4,2,0,0
147,Justin Herbert,6,2022-01-09,L,34,64,383,3,1,80.4,3,2,1,0,0
148,Justin Herbert,6,2022-09-11,W,26,34,279,3,0,129.4,0,4,1,0,0
149,Justin Herbert,6,2022-09-15,L,33,48,334,3,1,100.5,2,2,1,0,0
150,Justin Herbert,6,2022-09-25,L,25,45,297,1,1,74.0,1,1,7,0,1
151,Justin Herbert,6,2022-10-02,W,27,39,340,2,0,113.2,1,4,-5,0,0
152,Justin Herbert,6,2022-10-09,W,22,34,228,1,0,93.7,1,5,13,0,0
153,Justin Herbert,6,2022-10-17,W,37,57,238,0,1,66.3,2,2,9,0,0
154,Justin Herbert,6,2022-10-23,L,33,51,293,2,1,84.8,3,3,22,0,1
155,Justin Herbert,6,2022-11-06,W,30,43,245,1,1,82.0,0,1,3,0,0
156,Justin Herbert,6,2022-11-13,L,21,35,196,1,1,73.0,2,5,22,0,1
157,Justin Herbert,6,2022-11-20,L,23,30,280,2,1,113.2,5,5,17,0,0
158,Justin Herbert,6,2022-11-27,W,35,47,274,3,0,109.7,4,4,38,0,0
159,Justin Herbert,6,2022-12-04,L,28,47,335,1,0,88.5,5,5,7,0,2
160,Justin Herbert,6,2022-12-11,W,39,51,367,1,0,102.3,4,4,8,0,1
161,Justin Herbert,6,2022-12-18,W,28,42,313,0,2,68.8,3,1,2,0,0
162,Justin Herbert,6,2022-12-26,W,24,31,235,0,1,84.7,4,5,1,0,1
163,Justin Herbert,6,2023-01-01,W,21,28,212,2,0,119.9,0,1,2,0,0
164,Justin Herbert,6,2023-01-08,L,25,37,273,2,0,107.2,1,2,-1,0,1
165,Justin Herbert,6,2023-09-10,L,23,33,229,1,0,99.2,3,5,17,1,0
166,Justin Herbert,6,2023-09-17,L,27,41,305,2,0,104.2,3,1,0,0,0
167,Justin Herbert,6,2023-09-24,W,40,47,405,3,0,123.8,1,2,11,0,1
168,Justin Herbert,6,2023-10-01,W,13,24,167,1,1,72.7,2,12,27,2,0
169,Justin Herbert,6,2023-10-16,L,22,37,227,2,1,84.0,1,6,20,0,0
170,Justin Herbert,6,2023-10-22,L,17,30,259,1,2,68.6,5,2,5,0,0
171,Justin Herbert,6,2023-10-29,W,31,40,298,3,0,122.7,0,1,1,0,0
172,Justin Herbert,6,2023-11-06,W,16,30,136,0,0,65.4,5,3,17,0,1
173,Justin Herbert,6,2023-11-12,L,27,40,323,4,1,114.9,0,4,15,0,0
174,Justin Herbert,6,2023-11-19,L,21,36,260,2,0,99.3,2,8,73,0,1
175,Justin Herbert,6,2023-11-26,L,29,44,217,1,1,75.7,3,4,47,0,1
176,Justin Herbert,6,2023-12-03,W,22,37,212,0,0,75.5,0,4,-5,0,0
177,Justin Herbert,6,2023-12-10,L,9,17,96,0,1,45.2,4,0,0,0,0
178,Justin Herbert,6,2024-09-08,W,17,26,144,1,0,92.5,1,4,6,0,0
179,Justin Herbert,6,2024-09-15,W,14,20,130,2,1,100.0,1,6,18,0,1
180,Justin Herbert,6,2024-09-22,L,12,18,125,1,0,105.1,2,1,0,0,1
181,Justin Herbert,6,2024-09-29,L,16,27,179,1,0,91.4,2,3,0,0,1
182,Justin Herbert,6,2024-10-13,W,21,34,237,1,0,92.4,3,4,2,0,1
183,Justin Herbert,6,2024-10-21,L,27,39,349,0,0,97.1,3,2,8,0,0
184,Justin Herbert,6,2024-10-27,W,20,32,279,2,0,111.3,3,4,49,0,0
185,Justin Herbert,6,2024-11-03,W,18,27,282,2,0,125.8,6,3,2,0,0
186,Jordan Love,26,2021-11-07,L,19,34,190,1,1,69.5,1,5,23,0,1
187,Jordan Love,26,2023-09-10,W,15,27,245,3,0,123.2,1,3,12,0,1
188,Jordan Love,26,2023-09-17,L,14,25,151,3,0,113.5,1,2,23,0,0
189,Jordan Love,26,2023-09-24,W,22,44,259,1,1,66.4,1,9,39,1,0
190,Jordan Love,26,2023-09-28,L,23,36,246,1,2,69.9,5,2,-2,1,1
191,Jordan Love,26,2023-10-09,L,16,30,182,0,3,32.2,2,2,37,0,0
192,Jordan Love,26,2023-10-22,L,21,31,180,2,1,90.8,0,3,21,0,0
193,Jordan Love,26,2023-10-29,L,24,41,229,1,1,72.1,4,4,34,0,1
194,Jordan Love,26,2023-11-05,W,20,26,228,1,0,115.5,4,4,7,0,1
195,Jordan Love,26,2023-11-12,L,21,40,289,2,2,71.8,1,2,11,0,0
196,Jordan Love,26,2023-11-19,W,27,40,322,2,0,108.5,3,3,0,0,2
197,Jordan Love,26,2023-11-23,W,22,32,268,3,0,125.5,0,3,39,0,0
198,Jordan Love,26,2023-12-03,W,25,36,267,3,0,118.6,2,2,10,0,0
199,Jordan Love,26,2023-12-11,L,25,39,218,1,1,76.7,2,2,2,0,1
200,Jordan Love,26,2023-12-17,L,29,39,284,2,0,111.5,2,2,1,0,1
201,Jordan Love,26,2023-12-24,W,17,28,219,2,0,109.1,1,2,12,1,0
202,Jordan Love,26,2023-12-31,W,24,33,256,3,0,125.3,0,2,2,1,0
203,Jordan Love,26,2024-01-07,W,27,32,316,2,0,128.6,1,3,-1,0,1
204,Jordan Love,26,2024-09-06,L,17,34,260,2,1,83.0,1,0,0,0,0
205,Jordan Love,26,2024-09-29,L,32,54,389,4,3,83.0,1,1,6,0,0
206,Jordan Love,26,2024-10-06,W,15,26,224,2,1,95.7,2,3,10,0,1
207,Jordan Love,26,2024-10-13,W,22,32,258,4,1,119.5,0,5,13,0,0
208,Jordan Love,26,2024-10-20,W,24,33,220,3,2,95.5,3,0,0,0,0
209,Jordan Love,26,2024-10-27,W,14,22,196,0,1,73.3,0,1,-1,0,0
